date,fii_net_cr
2015-08-21,-2340.6
2015-08-24,-5275.4
2015-08-25,-2080.01
2015-08-26,-2345.77
2015-08-27,-3347.35
2015-08-28,56.41
2015-08-31,-551.19
2015-09-01,-675.32
2015-09-02,-1573.42
2015-09-03,-394.31
2015-09-04,-1287.12
2015-09-07,-826.92
2015-09-08,-659.67
2015-09-09,-452.13
2015-09-10,-121.19
2015-09-11,-754.27
2015-09-14,58.75
2015-09-15,-910.85
2015-09-16,-337.27
2015-09-18,643.51
2015-09-21,154.87
2015-09-22,-1052.24
2015-09-23,-1330.12
2015-09-24,-115.1
2015-09-28,-650.01
2015-09-29,-1112.59
2015-09-30,116.08
2015-10-01,48.6
2015-10-05,649.9
2015-10-06,480.24
2015-10-07,-50.6
2015-10-08,-48.89
2015-10-09,483.86
2015-10-12,317.56
2015-10-13,272.61
2015-10-14,121.75
2015-10-15,291.73
2015-10-16,436.79
2015-10-19,898.23
2015-10-20,523.69
2015-10-21,-48.33
2015-10-23,229.18
2015-10-26,724.51
2015-10-27,9.5
2015-10-28,-731.17
2015-10-29,174.12
2015-10-30,-1464.89
2015-11-02,-272.67
2015-11-03,-449.84
2015-11-04,33.16
2015-11-05,-991.87
2015-11-06,219.17
2015-11-09,-861.06
2015-11-10,-661.95
2015-11-11,-11.93
2015-11-13,-746.7
2015-11-16,-1051.26
2015-11-17,-492.45
2015-11-18,-768.46
2015-11-19,-343.18
2015-11-20,-94.09
2015-11-23,-35.37
2015-11-24,-540.12
2015-11-26,-398.1
2015-11-27,-519.25
2015-11-30,-1043.84
2015-12-01,-106.78
2015-12-02,60.61
2015-12-04,-1745.73
2015-12-07,-65.04
2015-12-08,-518.46
2015-12-09,-527.41
2015-12-10,-580.28
2015-12-11,253.73
2015-12-14,-157.07
2015-12-15,48.67
2015-12-16,-503.22
2015-12-17,638.01
2015-12-18,-6.99
2015-12-21,37.37
2015-12-22,168.73
2015-12-23,385.82
2015-12-24,-112.03
2015-12-28,-302.62
2015-12-29,8.49
