date,open,prev_close,close,vix_close,vix_prev,morning_score
2019-02-12,26259.25,26240.0,26094.4,15.75,15.84,0
2019-02-14,25767.9,26094.4,25945.7,15.77,15.75,-1
2019-02-15,25911.55,25945.7,25500.6,16.46,15.77,0
2019-02-18,25490.0,25500.6,25296.45,18.0,16.46,1
2019-02-19,25310.65,25296.45,25337.5,18.47,18.0,0
2019-02-20,25434.1,25337.5,25677.3,17.06,18.47,1
2019-02-21,25724.95,25677.3,25896.95,16.05,17.06,0
2019-02-22,25930.2,25896.95,26097.55,15.45,16.05,0
2019-02-25,26179.05,26097.55,26212.65,15.36,15.45,3
2019-02-26,26006.35,26212.65,26199.65,17.11,15.36,0
2019-02-27,26301.65,26199.65,26310.85,18.9,17.11,2
2019-02-28,26415.35,26310.85,26514.45,18.28,18.9,1
2019-03-01,26613.55,26514.45,26847.9,16.27,18.28,2
2019-03-05,26884.0,26847.9,27347.05,15.66,16.27,0
2019-03-06,27500.5,27347.05,27558.1,15.61,15.66,1
2019-03-07,27598.55,27558.1,27429.5,15.29,15.61,0
2019-03-08,27401.75,27429.5,27458.2,14.94,15.29,0
2019-03-11,27573.25,27458.2,28087.55,14.9,14.94,2
2019-03-12,28261.15,28087.55,28208.3,15.1,14.9,3
2019-03-13,28269.65,28208.3,28047.85,15.28,15.1,1
2019-03-14,28104.4,28047.85,27942.1,15.15,15.28,2
2019-03-15,27983.5,27942.1,27907.65,15.87,15.15,1
2019-03-18,27995.55,27907.65,27970.7,16.9,15.87,2
2019-03-19,28066.65,27970.7,28058.65,16.49,16.9,2
2019-03-20,28110.15,28058.65,27964.1,16.03,16.49,1
2019-03-22,27965.15,27964.1,27760.0,16.27,16.03,2
2019-03-25,27606.7,27760.0,27423.25,16.67,16.27,-1
2019-03-26,27497.2,27423.25,27681.75,16.49,16.67,0
2019-03-27,27806.65,27681.75,27623.2,17.05,16.49,2
2019-03-28,27664.65,27623.2,27873.05,16.65,17.05,1
2019-04-01,28450.65,27873.05,28334.0,18.01,16.65,2
2019-04-02,28398.85,28334.0,28137.0,18.08,18.01,1
2019-04-03,28238.7,28137.0,28033.15,18.78,18.08,1
2019-04-04,28119.5,28033.15,28020.55,18.65,18.78,0
2019-04-05,28111.3,28020.55,28143.05,18.39,18.65,1
2019-04-08,28182.35,28143.05,28039.3,20.15,18.39,0
2019-04-09,28068.25,28039.3,28146.45,20.28,20.15,0
2019-04-10,28137.25,28146.45,28056.8,21.13,20.28,0
2019-04-11,28069.8,28056.8,28148.55,20.96,21.13,1
2019-04-12,28171.6,28148.55,28271.1,21.0,20.96,0
2019-04-15,28351.35,28271.1,28389.5,21.39,21.0,1
2019-04-16,28482.05,28389.5,28542.45,21.69,21.39,1
2019-04-18,28593.75,28542.45,28419.55,22.74,21.69,1
2019-04-22,28317.15,28419.55,27907.25,24.05,22.74,0
2019-04-23,27967.55,27907.25,27874.85,24.65,24.05,0
2019-04-24,27885.55,27874.85,28057.85,23.71,24.65,1
2019-04-25,28093.65,28057.85,27914.95,23.23,23.71,0
2019-04-26,28015.6,27914.95,27921.05,21.72,23.23,2
2019-04-30,27888.55,27921.05,27800.25,21.83,21.72,0
2019-05-02,27750.4,27800.25,27659.1,22.98,21.83,-1
2019-05-03,27656.3,27659.1,27537.75,24.03,22.98,0
2019-05-06,27345.95,27537.75,27202.9,26.43,24.03,0
2019-05-07,27294.65,27202.9,27020.4,26.48,26.43,1
2019-05-08,26983.05,27020.4,26707.75,26.37,26.48,-1
2019-05-09,26649.25,26707.75,26632.6,25.49,26.37,0
2019-05-10,26643.35,26632.6,26558.95,26.34,25.49,0
2019-05-13,26507.4,26558.95,26074.6,27.38,26.34,-1
2019-05-14,26026.75,26074.6,26130.0,27.13,27.38,-2
2019-05-15,26161.4,26130.0,26015.45,28.66,27.13,0
2019-05-16,26013.1,26015.45,26004.7,28.37,28.66,0
2019-05-17,25984.55,26004.7,26226.5,28.08,28.37,1
2019-05-20,26828.95,26226.5,27081.4,23.68,28.08,-1
2019-05-21,27180.4,27081.4,26859.05,25.65,23.68,1
2019-05-22,26927.15,26859.05,26848.05,27.63,25.65,2
2019-05-23,27203.55,26848.05,26947.1,19.41,27.63,1
2019-05-24,27080.0,26947.1,27572.65,16.47,19.41,1
2019-05-27,27496.55,27572.65,27719.9,16.19,16.47,1
2019-05-28,27838.8,27719.9,27824.75,15.92,16.19,2
2019-05-29,27860.1,27824.75,27625.35,16.41,15.92,-1
2019-05-30,27670.05,27625.35,27648.55,15.61,16.41,-1
2019-05-31,27772.0,27648.55,27839.5,16.07,15.61,2
2019-06-03,27943.95,27839.5,28143.05,15.97,16.07,0
2019-06-04,28080.5,28143.05,27970.1,15.63,15.97,1
2019-06-06,28029.9,27970.1,27374.15,15.53,15.63,1
2019-06-07,27370.5,27374.15,27382.75,14.86,15.53,0
2019-06-10,27490.2,27382.75,27456.4,14.98,14.86,2
2019-06-11,27508.75,27456.4,27613.2,14.49,14.98,0
2019-06-12,27599.05,27613.2,27395.25,14.12,14.49,0
2019-06-13,27383.7,27395.25,27379.2,13.66,14.12,-1
2019-06-14,27371.85,27379.2,27093.0,13.9,13.66,0
2019-06-17,27072.15,27093.0,26672.3,14.65,13.9,0
2019-06-18,26691.6,26672.3,26705.0,14.6,14.65,0
2019-06-19,26809.9,26705.0,26551.8,14.73,14.6,2
2019-06-20,26522.5,26551.8,26998.15,14.0,14.73,0
2019-06-21,26930.45,26998.15,26926.2,14.61,14.0,1
2019-06-24,26981.7,26926.2,26960.25,15.22,14.61,0
2019-06-25,26886.9,26960.25,27028.45,15.01,15.22,0
2019-06-26,26981.1,27028.45,27246.3,14.75,15.01,0
2019-06-27,27269.5,27246.3,27381.35,14.65,14.75,0
2019-06-28,27431.4,27381.35,27332.5,14.95,14.65,0
2019-07-01,27436.85,27332.5,27471.75,14.6,14.95,2
2019-07-02,27547.95,27471.75,27562.85,14.25,14.6,1
2019-07-03,27642.35,27562.85,27704.9,13.7,14.25,0
2019-07-05,27820.55,27704.9,27378.0,13.07,13.7,2
2019-07-08,27206.8,27378.0,26810.65,13.85,13.07,-1
2019-07-09,26806.85,26810.65,26953.15,13.69,13.85,0
2019-07-10,26897.2,26953.15,26739.5,13.64,13.69,0
2019-07-11,26858.25,26739.5,26932.1,12.47,13.64,1
2019-07-12,26977.75,26932.1,26983.65,12.0,12.47,0
2019-07-15,27039.6,26983.65,27096.3,12.02,12.0,0
2019-07-16,27072.45,27096.3,27365.5,11.56,12.02,0
2019-07-17,27371.5,27365.5,27428.35,11.8,11.56,0
2019-07-18,27410.7,27428.35,27120.05,11.75,11.8,-1
2019-07-19,27264.6,27120.05,26656.15,12.52,11.75,0
2019-07-22,26615.55,26656.15,26676.1,13.01,12.52,-1
2019-07-23,26706.25,26676.1,26560.25,13.43,13.01,-1
2019-07-24,26569.9,26560.25,26133.9,12.76,13.43,0
2019-07-25,26221.6,26133.9,26302.15,12.64,12.76,0
2019-07-26,26342.35,26302.15,26553.9,12.13,12.64,-1
2019-07-29,26532.3,26553.9,26197.35,13.06,12.13,0
2019-07-30,26207.0,26197.35,25838.0,13.61,13.06,0
2019-07-31,25748.25,25838.0,26071.3,13.59,13.61,-1
2019-08-01,25957.5,26071.3,25732.95,14.56,13.59,-3
2019-08-02,25607.4,25732.95,25811.25,15.19,14.56,-3
2019-08-05,25639.6,25811.25,25601.75,16.59,15.19,-3
2019-08-06,25502.7,25601.75,25848.5,16.12,16.59,-3
2019-08-07,25893.6,25848.5,25730.0,16.74,16.12,0
2019-08-08,25875.45,25730.0,26050.65,16.09,16.74,1
2019-08-09,26159.65,26050.65,26236.6,15.85,16.09,2
2019-08-13,26228.3,26236.6,25636.1,17.78,15.85,-1
2019-08-14,25659.3,25636.1,25914.0,16.36,17.78,1
2019-08-16,25837.5,25914.0,25999.6,16.65,16.36,1
2019-08-19,26078.4,25999.6,25981.65,16.75,16.65,1
2019-08-20,25842.9,25981.65,25783.45,16.63,16.75,0
2019-08-21,25827.2,25783.45,25482.05,17.02,16.63,-1
2019-08-22,25460.85,25482.05,25136.9,17.85,17.02,1
2019-08-23,25081.4,25136.9,25345.1,17.35,17.85,0
2019-08-26,25749.0,25345.1,25813.55,16.66,17.35,-1
2019-08-27,25929.25,25813.55,26156.25,16.01,16.66,2
2019-08-28,26204.2,26156.25,26032.15,16.84,16.01,0
2019-08-29,25979.6,26032.15,26046.9,16.43,16.84,1
2019-08-30,26155.65,26046.9,26405.05,16.28,16.43,2
2019-09-03,26259.85,26405.05,25834.35,18.06,16.28,0
2019-09-04,25858.55,25834.35,25800.55,17.24,18.06,-2
2019-09-05,25878.95,25800.55,25935.05,17.27,17.24,1
2019-09-06,26025.2,25935.05,26053.95,16.27,17.27,2
2019-09-09,26048.65,26053.95,26141.0,15.85,16.27,0
2019-09-11,26184.95,26141.0,26309.65,15.37,15.85,0
