date,open,prev_close,close,vix_close,vix_prev,morning_score
2019-02-12,10879.7,10888.8,10831.4,15.75,15.84,0
2019-02-14,10786.1,10831.4,10746.05,15.77,15.75,-1
2019-02-15,10780.25,10746.05,10724.4,16.46,15.77,1
2019-02-18,10738.65,10724.4,10640.95,18.0,16.46,1
2019-02-19,10636.7,10640.95,10604.35,18.47,18.0,0
2019-02-20,10655.45,10604.35,10735.45,17.06,18.47,1
2019-02-21,10744.1,10735.45,10789.85,16.05,17.06,0
2019-02-22,10782.7,10789.85,10791.65,15.45,16.05,0
2019-02-25,10813.25,10791.65,10880.1,15.36,15.45,2
2019-02-26,10775.3,10880.1,10835.3,17.11,15.36,0
2019-02-27,10881.2,10835.3,10806.65,18.9,17.11,2
2019-02-28,10865.7,10806.65,10792.5,18.28,18.9,1
2019-03-01,10842.65,10792.5,10863.5,16.27,18.28,2
2019-03-05,10864.85,10863.5,10987.45,15.66,16.27,0
2019-03-06,11024.85,10987.45,11053.0,15.61,15.66,1
2019-03-07,11077.95,11053.0,11058.2,15.29,15.61,0
2019-03-08,11038.85,11058.2,11035.4,14.94,15.29,0
2019-03-11,11068.75,11035.4,11168.05,14.9,14.94,2
2019-03-12,11231.35,11168.05,11301.2,15.1,14.9,3
2019-03-13,11326.2,11301.2,11341.7,15.28,15.1,1
2019-03-14,11382.5,11341.7,11343.25,15.15,15.28,3
2019-03-15,11376.85,11343.25,11426.85,15.87,15.15,1
2019-03-18,11473.85,11426.85,11462.2,16.9,15.87,2
2019-03-19,11500.3,11462.2,11532.4,16.49,16.9,2
2019-03-20,11553.35,11532.4,11521.05,16.03,16.49,1
2019-03-22,11549.2,11521.05,11456.9,16.27,16.03,2
2019-03-25,11395.65,11456.9,11354.25,16.67,16.27,-1
2019-03-26,11375.2,11354.25,11483.25,16.49,16.67,0
2019-03-27,11531.45,11483.25,11445.05,17.05,16.49,2
2019-03-28,11463.65,11445.05,11570.0,16.65,17.05,1
2019-04-01,11665.2,11570.0,11669.15,18.01,16.65,2
2019-04-02,11711.55,11669.15,11713.2,18.08,18.01,2
2019-04-03,11735.3,11713.2,11643.95,18.78,18.08,0
2019-04-04,11660.2,11643.95,11598.0,18.65,18.78,-1
2019-04-05,11638.4,11598.0,11665.95,18.39,18.65,1
2019-04-08,11704.35,11665.95,11604.5,20.15,18.39,1
2019-04-09,11612.05,11604.5,11671.95,20.28,20.15,0
2019-04-10,11646.85,11671.95,11584.3,21.13,20.28,0
2019-04-11,11592.55,11584.3,11596.7,20.96,21.13,1
2019-04-12,11612.85,11596.7,11643.45,21.0,20.96,0
2019-04-15,11667.0,11643.45,11690.35,21.39,21.0,1
2019-04-16,11736.2,11690.35,11787.15,21.69,21.39,1
2019-04-18,11856.15,11787.15,11752.8,22.74,21.69,2
2019-04-22,11727.05,11752.8,11594.45,24.05,22.74,1
2019-04-23,11612.95,11594.45,11575.95,24.65,24.05,0
2019-04-24,11601.5,11575.95,11726.15,23.71,24.65,1
2019-04-25,11735.7,11726.15,11641.8,23.23,23.71,0
2019-04-26,11683.75,11641.8,11754.65,21.72,23.23,2
2019-04-30,11748.75,11754.65,11748.15,21.83,21.72,0
2019-05-02,11725.55,11748.15,11724.75,22.98,21.83,-1
2019-05-03,11722.6,11724.75,11712.25,24.03,22.98,0
2019-05-06,11605.8,11712.25,11598.25,26.43,24.03,0
2019-05-07,11651.5,11598.25,11497.9,26.48,26.43,1
2019-05-08,11478.7,11497.9,11359.45,26.37,26.48,-1
2019-05-09,11322.4,11359.45,11301.8,25.49,26.37,-1
2019-05-10,11314.15,11301.8,11278.9,26.34,25.49,0
2019-05-13,11258.7,11278.9,11148.2,27.38,26.34,-1
2019-05-14,11151.65,11148.2,11222.05,27.13,27.38,-2
2019-05-15,11271.7,11222.05,11157.0,28.66,27.13,1
2019-05-16,11180.35,11157.0,11257.1,28.37,28.66,0
2019-05-17,11261.9,11257.1,11407.15,28.08,28.37,1
2019-05-20,11651.9,11407.15,11828.25,23.68,28.08,-1
2019-05-21,11863.65,11828.25,11709.1,25.65,23.68,0
2019-05-22,11727.95,11709.1,11737.9,27.63,25.65,2
2019-05-23,11901.3,11737.9,11657.05,19.41,27.63,1
2019-05-24,11748.0,11657.05,11844.1,16.47,19.41,1
2019-05-27,11855.5,11844.1,11924.75,16.19,16.47,1
2019-05-28,11958.35,11924.75,11928.75,15.92,16.19,1
2019-05-29,11905.8,11928.75,11861.1,16.41,15.92,-1
2019-05-30,11865.3,11861.1,11945.9,15.61,16.41,-1
2019-05-31,11999.8,11945.9,11922.8,16.07,15.61,2
2019-06-03,11953.75,11922.8,12088.55,15.97,16.07,-1
2019-06-04,12052.65,12088.55,12021.65,15.63,15.97,1
2019-06-06,12039.8,12021.65,11843.75,15.53,15.63,1
2019-06-07,11865.2,11843.75,11870.65,14.86,15.53,0
2019-06-10,11934.9,11870.65,11922.7,14.98,14.86,2
2019-06-11,11959.85,11922.7,11965.6,14.49,14.98,1
2019-06-12,11962.45,11965.6,11906.2,14.12,14.49,0
2019-06-13,11873.9,11906.2,11914.05,13.66,14.12,-1
2019-06-14,11910.1,11914.05,11823.3,13.9,13.66,0
2019-06-17,11844.0,11823.3,11672.15,14.65,13.9,0
2019-06-18,11677.05,11672.15,11691.5,14.6,14.65,0
2019-06-19,11744.45,11691.5,11691.45,14.73,14.6,2
2019-06-20,11653.65,11691.45,11831.75,14.0,14.73,-1
2019-06-21,11827.6,11831.75,11724.1,14.61,14.0,1
2019-06-24,11725.8,11724.1,11699.65,15.22,14.61,0
